,name,location,hospital,bus,mall,subway,school,officeBuild,to_center_distance
2408,斜土路1899弄,"{'lat': 31.201186, 'lng': 121.459614}",74.0,47.0,4.0,5.0,111.0,100.0,4310.423984102615
2409,乐山一村,"{'lat': 31.204117, 'lng': 121.435273}",42.0,42.0,1.0,5.0,147.0,112.0,5571.918210620648
2410,武康路73弄,"{'lat': 31.218473, 'lng': 121.447267}",98.0,45.0,2.0,5.0,73.0,114.0,3724.8342462894125
2411,田林五村,"{'lat': 31.177816, 'lng': 121.424375}",25.0,38.0,2.0,3.0,66.0,55.0,8366.761090501524
2412,芝大厦,"{'lat': 31.213054, 'lng': 121.455158}",51.0,53.0,4.0,5.0,78.0,80.0,3496.0982493830456
2413,嘉善公寓,"{'lat': 31.213896, 'lng': 121.466837}",61.0,36.0,8.0,5.0,106.0,117.0,2741.2472975667256
2414,解龙小区,"{'lat': 31.190203, 'lng': 121.460566}",41.0,28.0,3.0,3.0,42.0,55.0,5382.813671571452
2415,清真路73号,"{'lat': 31.205407, 'lng': 121.465529}",54.0,40.0,5.0,5.0,102.0,88.0,3640.4336544459998
2416,紫藤苑,"{'lat': 31.156286, 'lng': 121.419038}",14.0,37.0,0.0,1.0,56.0,11.0,10587.039793974844
2417,冠生园路237弄,"{'lat': 31.167885, 'lng': 121.433506}",25.0,35.0,1.0,3.0,110.0,44.0,8758.951252147126
2418,徐汇嘉馨公寓,"{'lat': 31.206605, 'lng': 121.465873}",52.0,43.0,5.0,4.0,104.0,89.0,3505.5424010093334
2419,盖司康公寓,"{'lat': 31.220788, 'lng': 121.459552}",93.0,51.0,5.0,4.0,88.0,127.0,2611.001202626455
2420,南丹公寓,"{'lat': 31.197509, 'lng': 121.436713}",44.0,36.0,6.0,5.0,130.0,118.0,5958.806068492534
2421,世家小区,"{'lat': 31.214914, 'lng': 121.467323}",80.0,35.0,10.0,3.0,105.0,121.0,2620.082349868228
